National Team,Position,Club Name,Club Country,DOB,Age,Height,Weight
Argentina,GK,Tigres UANL,MEX,10.02.1986,32,192,90
Argentina,DF,Sevilla FC,ESP,18.03.1987,31,181,81
Argentina,DF,AFC Ajax,NED,31.08.1992,25,169,65
Argentina,DF,Torino FC,ITA,20.09.1986,31,181,73
Argentina,MF,AC Milan,ITA,30.01.1986,32,175,73
Argentina,DF,AS Roma,ITA,17.03.1987,31,199,85
Argentina,MF,Sevilla FC,ESP,29.06.1988,29,175,73
Argentina,DF,Sporting CP,POR,28.10.1991,26,172,77
Argentina,FW,Juventus FC,ITA,10.12.1987,30,184,75
Argentina,FW,FC Barcelona,ESP,24.06.1987,30,170,72
Argentina,MF,Paris Saint-Germain FC,FRA,14.02.1988,30,178,75
Argentina,GK,CA River Plate,ARG,16.10.1986,31,189,85
Argentina,MF,CA Independiente,ARG,15.12.1992,25,180,76
Argentina,DF,Hebei China Fortune FC,CHN,08.06.1984,34,174,73
Argentina,MF,West Ham United FC,ENG,15.02.1993,25,167,66
Argentina,DF,Manchester United FC,ENG,20.03.1990,28,189,82
Argentina,DF,Manchester City FC,ENG,12.02.1988,30,181,81
Argentina,DF,SL Benfica,POR,13.07.1990,27,167,69
Argentina,FW,Manchester City FC,ENG,02.06.1988,30,172,74
Argentina,MF,Paris Saint-Germain FC,FRA,09.04.1996,22,177,75
Argentina,FW,Juventus FC,ITA,15.11.1993,24,177,73
Argentina,MF,CA Boca Juniors,ARG,21.01.1996,22,169,65
Argentina,GK,Chelsea FC,ENG,28.09.1981,36,186,80
Australia,GK,Brighton & Hove Albion FC,ENG,08.04.1992,26,184,82
Australia,DF,Yokohama F-Marinos,JPN,28.04.1994,24,187,85
Australia,DF,Millwall FC,ENG,05.04.1988,30,179,71
Australia,FW,Millwall FC,ENG,06.12.1979,38,180,76
Australia,DF,Al Ahli SC,KSA,04.08.1985,32,178,78
Australia,DF,Suwon Samsung Bluewings FC,KOR,08.12.1989,28,190,83
Australia,FW,Hertha BSC,GER,04.02.1991,27,181,84
Australia,MF,Queens Park Rangers FC,ENG,25.09.1992,25,176,76
Australia,FW,FC Luzern,SUI,22.07.1991,26,190,80
Australia,FW,VfL Bochum,GER,05.10.1988,29,180,66
Australia,FW,Urawa Reds,JPN,17.12.1992,25,178,85
Australia,GK,Feyenoord Rotterdam,NED,19.03.1982,36,193,87
Australia,MF,Huddersfield Town FC,ENG,15.09.1990,27,173,72
Australia,FW,Hibernian FC,SCO,29.07.1993,24,178,72
Australia,MF,Aston Villa FC,ENG,03.08.1984,33,188,78
Australia,DF,Bursaspor,TUR,16.12.1990,27,170,63
Australia,FW,Melbourne City FC,AUS,04.01.1999,19,171,73
Australia,GK,KRC Genk,BEL,27.03.1985,33,187,94
Australia,DF,WS Wanderers FC,AUS,27.07.1992,25,169,70
Australia,DF,Grasshopper Club,SUI,05.01.1992,26,183,76
Australia,FW,Newcastle United Jets FC,AUS,10.11.1992,25,176,72
Australia,MF,Hull City FC,ENG,07.03.1993,25,180,77
Australia,MF,Celtic FC,SCO,16.12.1992,25,189,88
Belgium,GK,Chelsea FC,ENG,11.05.1992,26,199,91
Belgium,DF,Tottenham Hotspur FC,ENG,02.03.1989,29,186,81
Belgium,DF,FC Barcelona,ESP,14.11.1985,32,183,80
Belgium,DF,Manchester City FC,ENG,10.04.1986,32,190,85
Belgium,DF,Tottenham Hotspur FC,ENG,24.04.1987,31,189,86
Belgium,MF,Tianjin Quanjian FC,CHN,12.01.1989,29,186,73
Belgium,MF,Manchester City FC,ENG,28.06.1991,26,181,70
Belgium,MF,Manchester United FC,ENG,22.11.1987,30,194,85
Belgium,FW,Manchester United FC,ENG,13.05.1993,25,190,94
Belgium,FW,Chelsea FC,ENG,07.01.1991,27,173,74
Belgium,MF,Dalian Yifang FC,CHN,04.09.1993,24,180,67
Belgium,GK,Liverpool FC,ENG,06.03.1988,30,193,87
Belgium,GK,VfL Wolfsburg,GER,25.06.1992,25,197,86
Belgium,FW,SSC Napoli,ITA,06.05.1987,31,169,61
Belgium,DF,Paris Saint-Germain FC,FRA,12.09.1991,26,190,88
Belgium,MF,VfL Borussia Mönchengladbach,GER,29.03.1993,25,174,70
Belgium,MF,AS Monaco,FRA,07.05.1997,21,176,72
Belgium,FW,Real Sociedad,ESP,05.02.1995,23,180,75
Belgium,MF,Tottenham Hotspur FC,ENG,16.07.1987,30,185,82
Belgium,DF,Celtic FC,SCO,28.11.1990,27,188,84
Belgium,FW,Borussia Dortmund,GER,02.10.1993,24,185,78
Belgium,MF,West Bromwich Albion FC,ENG,02.08.1989,28,187,85
Belgium,DF,RSC Anderlecht,BEL,15.04.1995,23,188,76
Brazil,GK,AS Roma,ITA,02.10.1992,25,193,91
Brazil,DF,Paris Saint-Germain FC,FRA,22.09.1984,33,183,79
Brazil,DF,FC Internazionale,ITA,07.09.1984,33,186,78
Brazil,DF,Grêmio FBPA,BRA,21.09.1985,32,190,84
Brazil,MF,Real Madrid CF,ESP,23.02.1992,26,185,84
Brazil,DF,Atletico Madrid,ESP,09.08.1985,32,182,73
Brazil,FW,Juventus FC,ITA,14.09.1990,27,182,70
Brazil,MF,Beijing Guoan,CHN,08.02.1988,30,186,86
Brazil,FW,Manchester City FC,ENG,03.04.1997,21,175,73
Brazil,FW,Paris Saint-Germain FC,FRA,05.02.1992,26,175,68
Brazil,MF,FC Barcelona,ESP,12.06.1992,26,172,68
Brazil,DF,Real Madrid CF,ESP,12.05.1988,30,174,80
Brazil,DF,Paris Saint-Germain FC,FRA,14.05.1994,24,183,75
Brazil,DF,Manchester City FC,ENG,15.07.1991,26,184,78
Brazil,MF,FC Barcelona,ESP,25.07.1988,29,181,81
Brazil,GK,SC Corinthians,BRA,06.06.1987,31,195,92
Brazil,MF,Manchester City FC,ENG,04.05.1985,33,179,67
Brazil,MF,FC Shakhtar Donetsk,UKR,05.03.1993,25,169,64
Brazil,MF,Chelsea FC,ENG,09.08.1988,29,175,77
Brazil,FW,Liverpool FC,ENG,02.10.1991,26,181,76
Brazil,FW,FC Shakhtar Donetsk,UKR,13.01.1988,30,172,64
Brazil,DF,SC Corinthians,BRA,11.06.1989,29,168,67
Brazil,GK,Manchester City FC,ENG,17.08.1993,24,188,86
Colombia,GK,Arsenal FC,ENG,31.08.1988,29,183,80
Colombia,DF,AC Milan,ITA,30.09.1986,31,187,82
Colombia,DF,CF Pachuca,MEX,18.04.1988,30,184,80
Colombia,DF,PSV Eindhoven,NED,13.01.1992,26,177,71
Colombia,MF,CA Boca Juniors,ARG,16.10.1993,24,178,74
Colombia,MF,RCD Espanyol,ESP,06.02.1986,32,182,82
Colombia,FW,Villarreal CF,ESP,08.09.1986,31,181,77
Colombia,MF,AC Deportivo Cali,COL,06.01.1985,33,185,82
Colombia,FW,AS Monaco,FRA,10.02.1986,32,177,72
Colombia,MF,FC Bayern München,GER,12.07.1991,26,180,75
Colombia,MF,Juventus FC,ITA,26.05.1988,30,179,72
Colombia,GK,AC Deportivo Cali,COL,09.03.1989,29,185,80
Colombia,DF,FC Barcelona,ESP,23.09.1994,23,194,95
Colombia,FW,Sevilla FC,ESP,16.04.1991,27,178,79
Colombia,MF,Club América,MEX,21.03.1991,27,182,71
Colombia,MF,Levante UD,ESP,25.10.1994,23,179,70
Colombia,DF,Girona FC,ESP,21.08.1992,25,185,66
Colombia,DF,CA Boca Juniors,ARG,22.02.1991,27,172,72
Colombia,FW,SE Palmeiras,BRA,26.01.1993,25,183,74
Colombia,MF,CA River Plate,ARG,18.01.1993,25,169,64
Colombia,FW,Brighton & Hove Albion FC,ENG,07.07.1992,25,171,73
Colombia,GK,CD Once Caldas,COL,01.06.1985,33,180,80
Colombia,DF,Tottenham Hotspur FC,ENG,12.06.1996,22,187,81
Costa Rica,GK,Real Madrid CF,ESP,15.12.1986,31,185,80
Costa Rica,DF,Rionegro Águilas,COL,21.07.1983,34,176,75
Costa Rica,DF,Bologna FC,ITA,08.02.1988,30,186,78
Costa Rica,DF,IFK Norrkoping FK,SWE,06.03.1998,20,177,68
Costa Rica,MF,Deportivo La Coruña,ESP,27.05.1988,30,187,79
Costa Rica,DF,RCD Espanyol,ESP,03.06.1989,29,186,81
Costa Rica,MF,Deportivo Saprissa,CRC,17.05.1984,34,178,67
Costa Rica,DF,Sunderland AFC,ENG,18.02.1990,28,172,70
Costa Rica,MF,Deportivo Saprissa,CRC,10.01.1985,33,180,75
Costa Rica,MF,Sporting CP,POR,18.08.1985,32,187,73
Costa Rica,FW,Deportivo Saprissa,CRC,27.11.1988,29,183,76
Costa Rica,FW,Real Betis,ESP,26.06.1992,25,178,71
Costa Rica,MF,New York City FC,USA,17.06.1988,29,180,70
Costa Rica,MF,CS Herediano,CRC,30.12.1984,33,182,83
Costa Rica,DF,Minnesota United FC,USA,08.07.1992,25,180,78
Costa Rica,DF,Celtic FC,SCO,24.10.1989,28,175,67
Costa Rica,MF,FC Lausanne-Sport,SUI,17.03.1992,26,179,67
Costa Rica,GK,LD Alajuelense,CRC,24.04.1982,36,178,72
Costa Rica,DF,Vancouver Whitecaps FC,CAN,01.01.1988,30,196,87
Costa Rica,MF,Portland Timbers,USA,18.02.1990,28,176,78
Costa Rica,FW,Los Angeles FC,USA,05.03.1990,28,181,70
Costa Rica,DF,New York City FC,USA,09.07.1994,23,175,70
Costa Rica,GK,CS Herediano,CRC,02.04.1990,28,179,70
Croatia,GK,GNK Dinamo Zagreb,CRO,09.01.1995,23,188,82
Croatia,DF,Atletico Madrid,ESP,10.01.1992,26,181,76
Croatia,DF,UC Sampdoria,ITA,17.07.1987,30,186,78
Croatia,FW,FC Internazionale,ITA,02.02.1989,29,186,81
Croatia,DF,FC Lokomotiv Moscow,RUS,05.02.1986,32,192,84
Croatia,DF,Liverpool FC,ENG,05.07.1989,28,188,84
Croatia,MF,FC Barcelona,ESP,10.03.1988,30,184,78
Croatia,MF,Real Madrid CF,ESP,06.05.1994,24,178,78
Croatia,FW,TSG 1899 Hoffenheim,GER,19.06.1991,26,177,73
Croatia,MF,Real Madrid CF,ESP,09.09.1985,32,172,66
Croatia,MF,FC Internazionale,ITA,16.11.1992,25,181,68
Croatia,GK,KAA Gent,BEL,03.04.1990,28,201,96
Croatia,DF,Bayer 04 Leverkusen,GER,28.11.1995,22,184,81
Croatia,MF,HNK Rijeka,CRO,11.01.1992,26,186,78
Croatia,DF,FC Red Bull Salzburg,AUT,17.09.1996,21,192,89
Croatia,FW,AC Milan,ITA,05.01.1988,30,187,81
Croatia,FW,Juventus FC,ITA,21.05.1986,32,190,85
Croatia,FW,Eintracht Frankfurt,GER,21.09.1993,24,185,78
Croatia,MF,ACF Fiorentina,ITA,25.02.1989,29,186,76
Croatia,FW,FC Schalke 04,GER,06.05.1995,23,186,83
Croatia,DF,Besiktas JK,TUR,29.04.1989,29,184,76
Croatia,DF,FC Dynamo Kyiv,UKR,30.01.1989,29,176,69
Croatia,GK,AS Monaco,FRA,27.10.1984,33,191,84
Denmark,GK,Leicester City FC,ENG,05.11.1986,31,190,92
Denmark,MF,Deportivo La Coruña,ESP,06.06.1983,35,171,69
Denmark,DF,VfL Borussia Mönchengladbach,GER,03.08.1992,25,200,98
Denmark,DF,Sevilla FC,ESP,26.03.1989,29,191,84
Denmark,DF,Ipswich Town FC,ENG,16.09.1992,25,187,82
Denmark,DF,Chelsea FC,ENG,10.04.1996,22,192,85
Denmark,MF,FC Kobenhavn,DEN,24.02.1985,33,185,80
Denmark,MF,SV Werder Bremen,GER,03.09.1991,26,180,78
Denmark,FW,Feyenoord Rotterdam,NED,15.01.1991,27,194,86
Denmark,MF,Tottenham Hotspur FC,ENG,14.02.1992,26,181,76
Denmark,FW,FC Girondins Bordeaux,FRA,05.06.1991,27,180,73
Denmark,FW,AFC Ajax,NED,06.10.1997,20,187,85
Denmark,DF,Huddersfield Town FC,ENG,23.04.1990,28,191,85
Denmark,DF,Brentford FC,ENG,27.07.1989,28,190,81
Denmark,FW,FC Kobenhavn,DEN,09.06.1994,24,181,80
Denmark,GK,Huddersfield Town FC,ENG,01.02.1989,29,195,90
Denmark,DF,Udinese Calcio,ITA,21.02.1991,27,182,82
Denmark,MF,FC Girondins Bordeaux,FRA,12.07.1993,24,186,85
Denmark,MF,AFC Ajax,NED,27.05.1986,32,178,80
Denmark,FW,RB Leipzig,GER,15.06.1994,23,193,84
Denmark,FW,Atalanta Bergamo,ITA,16.03.1993,25,195,91
Denmark,GK,Brondby IF,DEN,04.08.1992,25,190,85
Denmark,FW,Celta Vigo,ESP,04.02.1995,23,173,69
Egypt,GK,Al Taawoun FC,KSA,15.01.1973,45,190,90
Egypt,DF,West Bromwich Albion FC,ENG,01.01.1989,29,191,88
Egypt,DF,Aston Villa FC,ENG,09.09.1987,30,183,76
Egypt,MF,Los Angeles FC,USA,30.01.1992,26,175,71
Egypt,MF,Wigan Athletic FC,ENG,10.09.1991,26,173,75
Egypt,DF,West Bromwich Albion FC,ENG,25.01.1991,27,194,95
Egypt,DF,Al Ahly SC,EGY,10.11.1984,33,176,76
Egypt,MF,Zamalek,EGY,24.10.1988,29,169,67
Egypt,FW,Al Ahly SC,EGY,26.02.1989,29,185,81
Egypt,FW,Liverpool FC,ENG,15.06.1992,25,175,71
Egypt,FW,Al-Ittihad FC,KSA,13.04.1994,24,182,76
Egypt,DF,Al Ahly SC,EGY,09.04.1991,27,176,73
Egypt,DF,Al Fateh FC,KSA,01.07.1985,32,171,72
Egypt,FW,Stoke City FC,ENG,23.01.1997,21,183,77
Egypt,DF,Zamalek,EGY,01.06.1995,23,173,72
Egypt,GK,Al Ahly SC,EGY,10.07.1983,34,193,93
Egypt,MF,Arsenal FC,ENG,11.07.1992,25,181,74
Egypt,FW,Al Raed SC,KSA,05.03.1986,32,183,80
Egypt,MF,Kuopion PS,FIN,13.07.1985,32,176,75
Egypt,DF,Al Ahly SC,EGY,01.04.1989,29,183,82
Egypt,MF,Kasimpasa SK,TUR,01.10.1994,23,181,77
Egypt,FW,Atromitos FC,GRE,17.09.1993,24,179,77
Egypt,GK,Al Ahly SC,EGY,18.12.1988,29,191,86
England,GK,Everton FC,ENG,07.03.1994,24,185,72
England,DF,Manchester City FC,ENG,28.05.1990,28,178,83
England,DF,Tottenham Hotspur FC,ENG,02.07.1990,27,173,76
England,MF,Tottenham Hotspur FC,ENG,15.01.1994,24,188,90
England,DF,Manchester City FC,ENG,28.05.1994,24,188,72
England,DF,Leicester City FC,ENG,05.03.1993,25,193,98
England,MF,Manchester United FC,ENG,15.12.1992,25,175,60
England,MF,Liverpool FC,ENG,17.06.1990,27,183,82
England,FW,Tottenham Hotspur FC,ENG,28.07.1993,24,188,98
England,FW,Manchester City FC,ENG,08.12.1994,23,170,70
England,FW,Leicester City FC,ENG,11.01.1987,31,178,80
England,DF,Tottenham Hotspur FC,ENG,19.09.1990,27,178,72
England,GK,Stoke City FC,ENG,10.03.1993,25,196,96
England,FW,Arsenal FC,ENG,26.11.1990,27,184,78
England,DF,Chelsea FC,ENG,19.12.1985,32,191,85
England,DF,Manchester United FC,ENG,21.02.1992,26,182,72
England,DF,Manchester City FC,ENG,21.11.1989,28,174,78
England,DF,Manchester United FC,ENG,09.07.1985,32,175,78
England,FW,Manchester United FC,ENG,31.10.1997,20,180,78
England,MF,Tottenham Hotspur FC,ENG,11.04.1996,22,188,76
England,MF,Chelsea FC,ENG,23.01.1996,22,190,73
England,DF,Liverpool FC,ENG,07.10.1998,19,175,70
England,GK,Burnley FC,ENG,19.04.1992,26,191,76
France,GK,Tottenham Hotspur FC,ENG,26.12.1986,31,188,82
France,DF,VfB Stuttgart,GER,28.03.1996,22,186,76
France,DF,Paris Saint-Germain FC,FRA,13.08.1995,22,182,78
France,DF,Real Madrid CF,ESP,25.04.1993,25,191,79
France,DF,FC Barcelona,ESP,14.11.1993,24,183,84
France,MF,Manchester United FC,ENG,15.03.1993,25,191,86
France,FW,Atletico Madrid,ESP,21.03.1991,27,174,72
France,FW,AS Monaco,FRA,12.11.1995,22,172,65
France,FW,Chelsea FC,ENG,30.09.1986,31,193,91
France,FW,Paris Saint-Germain FC,FRA,20.12.1998,19,178,78
France,FW,FC Barcelona,ESP,15.05.1997,21,178,70
France,MF,FC Bayern München,GER,03.08.1994,23,180,82
France,MF,Chelsea FC,ENG,29.03.1991,27,168,70
France,MF,Juventus FC,ITA,09.04.1987,31,180,74
France,MF,Sevilla FC,ESP,15.12.1988,29,197,87
France,GK,Olympique Marseille,FRA,28.03.1985,33,187,88
France,DF,Olympique Marseille,FRA,27.12.1985,32,190,90
France,FW,Olympique Lyon,FRA,18.07.1993,24,173,76
France,DF,AS Monaco,FRA,29.07.1992,25,184,81
France,FW,Olympique Marseille,FRA,26.01.1993,25,180,76
France,DF,Atletico Madrid,ESP,14.02.1996,22,183,76
France,DF,Manchester City FC,ENG,17.07.1994,23,183,84
France,GK,Paris Saint-Germain FC,FRA,27.02.1993,25,195,95
Germany,GK,FC Bayern München,GER,27.03.1986,32,193,93
Germany,DF,Hertha BSC,GER,26.01.1992,26,181,76
Germany,DF,1. FC Köln,GER,27.05.1990,28,185,75
Germany,DF,VfL Borussia Mönchengladbach,GER,19.01.1994,24,189,85
Germany,DF,FC Bayern München,GER,16.12.1988,29,192,90
Germany,MF,Juventus FC,ITA,04.04.1987,31,189,81
Germany,MF,Paris Saint-Germain FC,FRA,20.09.1993,24,185,74
Germany,MF,Real Madrid CF,ESP,04.01.1990,28,182,78
Germany,FW,RB Leipzig,GER,06.03.1996,22,181,75
Germany,MF,Arsenal FC,ENG,15.10.1988,29,180,70
Germany,FW,Borussia Dortmund,GER,31.05.1989,29,180,67
Germany,GK,Paris Saint-Germain FC,FRA,08.07.1990,27,189,88
Germany,MF,FC Bayern München,GER,13.09.1989,28,186,75
Germany,MF,FC Schalke 04,GER,06.02.1995,23,189,76
Germany,DF,FC Bayern München,GER,03.09.1995,22,195,89
Germany,DF,Chelsea FC,ENG,03.03.1993,25,191,85
Germany,DF,FC Bayern München,GER,03.09.1988,29,192,90
Germany,DF,FC Bayern München,GER,08.02.1995,23,176,72
Germany,MF,FC Bayern München,GER,28.02.1990,28,179,74
Germany,MF,Bayer 04 Leverkusen,GER,02.05.1996,22,183,82
Germany,MF,Manchester City FC,ENG,24.10.1990,27,180,79
Germany,GK,FC Barcelona,ESP,30.04.1992,26,187,85
Germany,FW,VfB Stuttgart,GER,10.07.1985,32,189,82
Iceland,GK,Randers FC,DEN,27.04.1984,34,193,88
Iceland,DF,Valur Reykjavik,ISL,11.11.1984,33,186,75
Iceland,MF,Valerenga IF,NOR,22.02.1996,22,185,78
Iceland,MF,PSV Eindhoven,NED,15.06.1997,20,177,80
Iceland,DF,FC Rostov,RUS,05.08.1993,24,188,80
Iceland,DF,FC Rostov,RUS,19.06.1986,31,187,86
Iceland,MF,Burnley FC,ENG,27.10.1990,27,179,77
Iceland,MF,Aston Villa FC,ENG,27.05.1988,30,183,77
Iceland,FW,FC Rostov,RUS,26.02.1991,27,187,85
Iceland,MF,Everton FC,ENG,08.09.1989,28,186,82
Iceland,FW,FC Augsburg,GER,01.02.1989,29,185,79
Iceland,GK,Roskilde BK,DEN,19.01.1995,23,198,92
Iceland,GK,FC Nordsjaelland,DEN,18.02.1995,23,186,76
Iceland,DF,Aberdeen FC,SCO,13.10.1982,35,191,82
Iceland,DF,Levski Sofia,BUL,06.08.1990,27,188,81
Iceland,MF,Karabukspor,TUR,01.04.1983,35,184,79
Iceland,MF,Cardiff City FC,WAL,22.04.1989,29,181,86
Iceland,DF,Bristol City FC,ENG,11.02.1993,25,191,85
Iceland,MF,SV Sandhausen,GER,25.02.1988,30,184,78
Iceland,MF,Udinese Calcio,ITA,29.06.1984,33,186,86
Iceland,MF,Malmö FF,SWE,30.04.1993,25,183,73
Iceland,FW,Reading FC,ENG,25.05.1992,26,189,89
Iceland,DF,KSC Lokeren,BEL,14.05.1987,31,170,63
IR Iran,GK,Persepolis FC,IRN,21.09.1992,25,194,85
IR Iran,MF,Saipa Alborz FC,IRN,10.09.1994,23,185,71
IR Iran,DF,Olympiacos Piraeus FC,GRE,25.02.1990,28,178,75
IR Iran,DF,Esteghlal Tehran FC,IRN,24.07.1993,24,192,80
IR Iran,DF,FC Akhmat Grozny,RUS,29.09.1993,24,178,69
IR Iran,MF,FK Amkar Perm,RUS,01.10.1996,21,190,82
IR Iran,MF,AEK Athens,GRE,09.06.1984,34,187,79
IR Iran,DF,Al Sadd SC,QAT,19.04.1992,26,187,83
IR Iran,MF,Esteghlal Tehran FC,IRN,16.09.1987,30,178,75
IR Iran,FW,Olympiacos Piraeus FC,GRE,03.04.1990,28,187,80
IR Iran,MF,Persepolis FC,IRN,02.04.1988,30,179,71
IR Iran,GK,Zob Ahan Isfahan FC,IRN,18.05.1989,29,192,84
IR Iran,DF,Padideh FC,IRN,11.05.1991,27,186,80
IR Iran,FW,IFK Östersund FK,SWE,06.09.1993,24,177,79
IR Iran,DF,Esteghlal Tehran FC,IRN,06.09.1983,34,185,77
IR Iran,FW,SC Heerenveen,NED,20.09.1987,30,180,79
IR Iran,FW,Al Gharafa SC,QAT,18.07.1992,25,187,80
IR Iran,FW,AZ Alkmaar,NED,11.08.1993,24,180,77
IR Iran,DF,Esteghlal Tehran FC,IRN,20.06.1996,21,183,78
IR Iran,FW,FC Rubin Kazan,RUS,01.01.1995,23,186,80
IR Iran,FW,Nottingham Forest FC,ENG,05.07.1986,31,181,78
IR Iran,GK,CS Maritimo,POR,26.04.1993,25,186,80
IR Iran,DF,KV Oostende,BEL,21.03.1990,28,185,75
Japan,GK,FC Metz,FRA,20.03.1983,35,185,74
Japan,DF,Kashima Antlers,JPN,24.10.1994,23,186,79
Japan,DF,Kashima Antlers,JPN,11.12.1992,25,182,74
Japan,MF,CF Pachuca,MEX,13.06.1986,32,182,74
Japan,DF,Galatasaray SK,TUR,12.09.1986,31,170,68
Japan,DF,Urawa Reds,JPN,09.02.1993,25,178,75
Japan,MF,Getafe CF,ESP,28.05.1992,26,175,64
Japan,MF,Fortuna Düsseldorf,GER,09.05.1991,27,178,68
Japan,FW,Leicester City FC,ENG,16.04.1986,32,174,70
Japan,MF,Borussia Dortmund,GER,17.03.1989,29,175,68
Japan,MF,Fortuna Düsseldorf,GER,06.05.1992,26,178,72
Japan,GK,Gamba Osaka,JPN,12.05.1986,32,184,78
Japan,FW,FSV Mainz 05,GER,15.07.1992,25,179,72
Japan,MF,SD Eibar,ESP,02.06.1988,30,169,59
Japan,FW,1. FC Köln,GER,18.05.1990,28,182,71
Japan,MF,Cerezo Osaka,JPN,06.10.1990,27,173,72
Japan,MF,Eintracht Frankfurt,GER,18.01.1984,34,180,72
Japan,MF,Kawasaki Frontale,JPN,23.01.1993,25,168,64
Japan,DF,Olympique Marseille,FRA,12.04.1990,28,183,70
Japan,DF,Urawa Reds,JPN,11.05.1987,31,182,77
Japan,DF,Hamburger SV,GER,14.03.1991,27,176,74
Japan,DF,Southampton FC,ENG,24.08.1988,29,189,78
Japan,GK,Kashiwa Reysol,JPN,27.02.1995,23,184,72
Korea Republic,GK,Vissel Kobe,JPN,30.09.1990,27,187,80
Korea Republic,DF,Jeonbuk Hyundai,KOR,24.12.1986,31,180,74
Korea Republic,DF,Sagan Tosu FC,JPN,03.04.1994,24,188,74
Korea Republic,DF,Jeju United,KOR,20.05.1988,30,189,79
Korea Republic,DF,Seongnam FC,KOR,04.10.1988,29,185,78
Korea Republic,DF,Ulsan Hyundai FC,KOR,16.01.1987,31,174,71
Korea Republic,FW,Tottenham Hotspur FC,ENG,08.07.1992,25,183,76
Korea Republic,MF,Asan Mugunghwa FC,KOR,30.10.1990,27,176,70
Korea Republic,FW,Jeonbuk Hyundai,KOR,14.04.1988,30,197,97
Korea Republic,MF,Hellas Verona FC,ITA,06.01.1998,20,170,63
Korea Republic,FW,FC Red Bull Salzburg,AUT,26.01.1996,22,177,77
Korea Republic,DF,Sangju Sangmu FC,KOR,25.02.1990,28,172,69
Korea Republic,MF,FC Augsburg,GER,27.02.1989,29,182,73
Korea Republic,DF,Sangju Sangmu FC,KOR,17.09.1990,27,176,67
Korea Republic,MF,Vissel Kobe,JPN,14.12.1989,28,186,78
Korea Republic,MF,Swansea City AFC,WAL,24.01.1989,29,186,75
Korea Republic,MF,Jeonbuk Hyundai,KOR,10.08.1992,25,180,70
